lcsc,kind,bom_comment,manufacturer_part_number,bom_footprint,manufacturer_footprint,jlcpcb_class
C49851,part,INA226AIDGSR,INA226AIDGSR,VSSOP-10,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,Extended Part
C81233,part,ME6212C33M5G,ME6212C33M5G,SOT-23-5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,Extended Part
C26537,part,NCP1117ST33T3G,NCP1117ST33T3G,SOT-223,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,Extended Part
C2040,part,RP2040,RP2040,LQFN-56(7x7),LQFN-56_L7.0-W7.0-P0.4-EP,Extended Part
C131025,part,W25Q16JVSSIQ,W25Q16JVSSIQ,SOIC-8-208mil,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,Extended Part
C46061679,part,HX PZ2.54-1x6P WT,HX PZ2.54-1x6P WT,"SMD,P=2.54mm,Surface Mount,Right Angle",HDR-SMD_HX-PZ2.54-1X6P-WT,Extended Part
C46061681,part,HX PZ2.54-1x8P WT,HX PZ2.54-1x8P WT,"SMD,P=2.54mm,Surface Mount,Right Angle",HDR-SMD_8P-P2.54-H-M-W13.3-N-1,Extended Part
C2927038,part,USB-TYPE-C-018,USB-TYPE-C-018,USB-C_SMD-TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,Extended Part
C22464903,discrete,0R27,RLH12FTCR270,1206,R1206,Extended Part
C25100,discrete,27,0402WGF270JTCE,0402,R0402,Extended Part
C25905,discrete,5K1,0402WGF5101TCE,0402,R0402,Basic Part
C23210,discrete,6R2,0603WAF620KT5E,0603,R0603,Extended Part
C1525,discrete,100nF,CL05B104KO5NNNC,0402,C0402,Basic Part
C15850,discrete,10uF,CL21A106KAYNNNE,0805,C0805,Basic Part
C15849,discrete,1uF,CL10A105KB8NNNC,0603,C0603,Basic Part
C19666,discrete,4.7uF,CL10A475KO8NNNC,0603,C0603,Basic Part
C454611,part,TFOM12M4RHKCNT2T,TFOM12M4RHKCNT2T,SMD3225-4P,OSC-SMD_4P-L3.2-W2.5-BL,Extended Part
