lcsc,kind,bom_comment,manufacturer_part_number,bom_footprint,manufacturer_footprint,jlcpcb_class
C81233,part,ME6212C33M5G,ME6212C33M5G,SOT-23-5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,Extended Part
C2040,part,RP2040,RP2040,LQFN-56(7x7),LQFN-56_L7.0-W7.0-P0.4-EP,Extended Part
C131025,part,W25Q16JVSSIQ,W25Q16JVSSIQ,SOIC-8-208mil,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,Extended Part
C2927038,part,USB-TYPE-C-018,USB-TYPE-C-018,USB-C_SMD-TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,Extended Part
C5142239,part,X6511FRS-06-C85D30,X6511FRS-06-C85D30,SMD,HDR-SMD_6P-P2.54-H-F-L11.5,Extended Part
C25099,discrete,270,0402WGF2700TCE,0402,R0402,Extended Part
C25905,discrete,5K1,0402WGF5101TCE,0402,R0402,Basic Part
C47764,discrete,7.5,0402WGF750KTCE,0402,R0402,Extended Part
C70225,discrete,"10 uF, 16V",0603X106K160NT,0603,C0603,Extended Part
C1525,discrete,100nF,CL05B104KO5NNNC,0402,C0402,Basic Part
C52923,discrete,1uF,CL05A105KA5NQNC,0402,C0402,Basic Part
C454611,part,TFOM12M4RHKCNT2T,TFOM12M4RHKCNT2T,SMD3225-4P,OSC-SMD_4P-L3.2-W2.5-BL,Extended Part
